bill_id,bill_number,bill_type,congress,cosponsors_by_party_D,cosponsors_by_party_R,introduced_at,sponsor_SGID,total_cosponser
hr3184-115,3184,hr,115,4,6,2017-07-11,1917,10
hr873-115,873,hr,115,64,95,2017-02-06,1915,159
hr4723-115,4723,hr,115,2,2,2017-12-21,1695,4
hr6096-115,6096,hr,115,1,,2018-06-13,1584,1
hr7084-115,7084,hr,115,,1,2018-10-23,1877,1
hr2018-115,2018,hr,115,1,,2017-04-06,1613,1
hr3033-115,3033,hr,115,4,3,2017-06-23,1945,7
hr5411-115,5411,hr,115,5,3,2018-03-26,1812,8
hr2543-115,2543,hr,115,2,,2017-05-18,1688,2
hr3342-115,3342,hr,115,11,15,2017-07-20,1915,26
hr1963-115,1963,hr,115,5,4,2017-04-05,1516,9
hr4243-115,4243,hr,115,,15,2017-11-03,1669,15
hr5468-115,5468,hr,115,1,7,2018-04-11,1756,8
hr504-115,504,hr,115,4,4,2017-01-12,1651,8
hr592-115,592,hr,115,124,172,2017-01-20,1638,296
hr4954-115,4954,hr,115,11,6,2018-02-06,1967,17
hr6275-115,6275,hr,115,4,5,2018-06-28,1895,9
hr1557-115,1557,hr,115,3,,2017-03-16,1945,3
hr2209-115,2209,hr,115,5,,2017-04-27,1860,5
hr6992-115,6992,hr,115,4,9,2018-09-28,1939,13
hr1860-115,1860,hr,115,4,,2017-04-03,1324,4
hr1374-115,1374,hr,115,82,,2017-03-07,1569,82
hr6046-115,6046,hr,115,20,,2018-06-07,1794,20
hr3026-115,3026,hr,115,13,,2017-06-22,1794,13
hr4321-115,4321,hr,115,24,9,2017-11-09,1191,33
hr4613-115,4613,hr,115,1,7,2017-12-11,1548,8
hr4568-115,4568,hr,115,,1,2017-12-06,1714,1
hr5190-115,5190,hr,115,1,,2018-03-07,1758,1
hr4052-115,4052,hr,115,109,,2017-10-12,1804,109
hr6184-115,6184,hr,115,40,,2018-06-21,1551,40
hr7072-115,7072,hr,115,1,1,2018-10-16,1583,2
hr6733-115,6733,hr,115,6,15,2018-09-07,1891,21
hr1223-115,1223,hr,115,16,27,2017-02-27,1564,43
hr5351-115,5351,hr,115,8,,2018-03-20,1946,8
hr3245-115,3245,hr,115,1,,2017-07-14,1564,1
hr4549-115,4549,hr,115,8,11,2017-12-05,1541,19
hr5137-115,5137,hr,115,21,,2018-03-01,1886,21
hr2015-115,2015,hr,115,100,1,2017-04-06,306,101
hr831-115,831,hr,115,4,11,2017-02-02,1885,15
hr6967-115,6967,hr,115,1,,2018-09-28,1520,1
hr3810-115,3810,hr,115,13,1,2017-09-21,1675,14
hr3340-115,3340,hr,115,8,,2017-07-20,306,8
hr938-115,938,hr,115,,2,2017-02-07,1502,2
hr453-115,453,hr,115,4,17,2017-01-11,914,21
hr3310-115,3310,hr,115,,3,2017-07-19,608,3
hr2688-115,2688,hr,115,4,,2017-05-25,466,4
hr6679-115,6679,hr,115,,1,2018-08-24,1949,1
hr756-115,756,hr,115,11,12,2017-01-31,1671,23
hr1472-115,1472,hr,115,82,12,2017-03-09,1435,94
hr4251-115,4251,hr,115,8,1,2017-11-03,1049,9
hr6149-115,6149,hr,115,,2,2018-06-19,1591,2
hr6988-115,6988,hr,115,4,6,2018-09-28,1459,10
hr5832-115,5832,hr,115,3,,2018-05-15,1707,3
hr4947-115,4947,hr,115,1,2,2018-02-06,1804,3
hr3091-115,3091,hr,115,18,,2017-06-28,1858,18
